ratings,text,date,sentimentType,commentCategoryName
5,พดน้ย้ยพวดว้ววัุฝองงะงองะด,2025-06-07,Neutral,Other
5,ไม่ตรงปกเลยค่ะ,2025-06-07,Negative,Product
3,เราสั่งมาได้1บาทมันโปร พอมาถึงคือเล็กมาก เท่าสมุดเรียนเรา วัสดุตรงขามันไม่ค่อยแข็งแรง พลาสติดอ่อนๆ  ไม่ได้ว่านะ ไม่รู้ว่าถ้าสั่งราคาจริงจะขนาดใหญ่กว่านี้หรือเท่ากัน,2025-06-07,Negative,Product
5,ได้มาในราคา 1 บาทน่ารักดีคะ,2025-06-07,Positive,Product
5,ได้มา 1.- คุ้มสุดดดด,2025-06-07,Neutral,Other
5,คุณภาพดีมากคะ,2025-06-07,Positive,Product
5,"การออกแบบ:สวยงาม
 ความทนทาน:ไม่ค่อยทน ดูบางมากค่ะ
 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",2025-06-07,Negative,Product
5,สมราคา จัดส่งไว และแพ็คสินค้าดี,2025-06-07,Positive,Delivery
5,ความทนทาน:แข็งแรงใช้ได้,2025-06-07,Neutral,Other
5,1 บาทไม่คิดจะได้จริงๆ,2025-06-07,Negative,Product
5,ชั้นวางของได้รับเรียบร้อยแล้วค่ะถูกใจค่ะขอบคุณมากครับ,2025-06-07,Positive,Product
5,ดีครับ,2025-06-07,Positive,Product
5,ความทนทาน:ค่อนข้างบาง,2025-06-07,Neutral,Other
5,,2025-06-07,Neutral,Other
5,ความทนทาน:ใช้ดีมากสวยด้วย,2025-06-07,Positive,Product
5,สินค้าเหมาะสมกับราคาค่ะ ใช้ได้เลย,2025-06-07,Positive,Product
5,คุณภาพตามราคาวัสดุพอได้ไม่ได้แข็งแรงมากวางของเบาเบาอยู่,2025-06-07,Negative,Product
5,สินค้า ส่งไว วัสดุโอเค ราคาถูกมาก ประกอบใช้งานง่าย,2025-06-07,Positive,Delivery
5,น่ารักค่ะ ใส่ของกะจุกกะจิกเหมาะดีค่ะ,2025-06-07,Positive,Product
5,บอบบางมากๆๆๆๆๆๆๆๆแต่ก็แค่บาทเดียว😄😄😄😄😄😄😄😄😄😄บอบบางมากๆๆๆๆๆๆๆๆแต่ก็แค่บาทเดียว😄😄😄😄😄😄😄😄😄😄,2025-06-07,Neutral,Product
5,"Good design, light weight, not strong, cannot bare much weight, safe for children",2025-06-07,Neutral,Other
5,ดี ตรงปก,2025-06-07,Positive,Product
5,สิ่งค้าจริงสวยมาก ได้มาในราคา1บาท,2025-06-07,Positive,Product
5,The quality of the product is poor.,2025-06-07,Neutral,Other
5,กดสั่งเล่นๆในราคาลค.ใหม่ ไม่ได้คาดหวัง แต่ของตรงปกจริง ประกอบง่าย น้ำหนักเบา ใช้งานได้จริง,2025-06-07,Negative,Product
5,ได้รับของแล้วยังไม่แกะ,2025-06-07,Negative,Product
5,ความทนทาน: ตามมาตรฐานสมกับราคา การออกแบบ:  ดีไซน์สวย,2025-06-07,Positive,Product
5,สินค้าได้มาในราคา 1 บาทถือว่าดีมากๆมีความทนทานสีขาวสไตล์มินิมัลออกแบบมาได้น่ารักสวยงามสามารถใส่ของได้เยอะมากๆมีล้อสามารถเลื่อนได้และนำมาต่อเองได้ง่ายมากๆถือว่าคุ้มค่าคุ้มคุ้มราคาจริงๆ,2025-06-07,Positive,Product
3,คือแอบมีรอยสีดำเป็นจุดเล็กไปแล้วก็แอบมีรอยแตก,2025-06-07,Negative,Product
5,สวย,2025-06-07,Positive,Product
5,ดีมากๆๆๆๆๆๆๆๆๆๆ,2025-06-07,Positive,Other
5,รูปทรงสวยงามประกอบง่ายขนาดพอดีเคลื่อนย้ายนสะดวกร้านค้าส่งร็ว,2025-06-07,Positive,Product
5,"ugfufytfyfhvhcgfgfchhchgcgfhcyfjvjbblnokpookpkjojhvjhcdtsrrsdsgxgcgcgcgtdeWelcome to Gboard clipboard, any text you copy will be saved here.Tap on a clip to paste it in the text box.Touch and hold a clip to pin it. Unpinned clips will be deleted after 1 hour.hccxffkdjzdsfzfkfzdzdzfzfzdsdzdzdj",2025-06-07,Neutral,Other
5,ดีมากค่ะตรงปกจัดส่งไว,2025-06-07,Positive,Delivery
5,ดีค่ะเหมาะสมกับราคา,2025-06-07,Positive,Product
5,ถูกใจค่ะ,2025-06-07,Neutral,Other
1,ไม่ตรงปก ก๊องแก๊งมาก คานตั้งบีบเบาๆก็บุญแล้ว  ราคาเท่านี้ คุณภาพของก็แบบนี้แหละ รูปที่ลงก็แค่ใกล้เคียง,2025-06-07,Negative,Product
5,ประกอบง่ายดีค่ะ,2025-06-07,Positive,Product
5,"พอใช้ได้ วัสดุไม่ค่อยแข็งแรงเท่าไร
ลองใส่ของดูก่อน",2025-06-07,Negative,Product
5,พอดี,2025-06-07,Neutral,Other
5,"สวยและดี
 การออกแบบ:สวย
 ความทนทาน:ต้องถนอมหน่อย",2025-06-07,Positive,Product
5,ได้รับของแล้วค่ะขอบคุณนะคะ,2025-06-07,Neutral,Other
5,ประกอบง่าย ใช้งานได้ ราคาถูก,2025-06-07,Positive,Product
5,การออกแบบ:ดี,2025-06-06,Positive,Product
5,คุ้มค่า วัสดุดี คุณภาพตามราคา สะดวกในการใช้งาน,2025-06-06,Positive,Product
5,สินค้าสวยงามตรงตามปก ได้มาในราคา 1 บาทขอบคุณมากครับ,2025-06-06,Positive,Product
5,ยังไม่ได้จ่ายเงินค่าของค่า,2025-06-06,Negative,Product
5,"📦ความจุในการจัดเก็บ:ขนส่งจัดส่งได้อย่างรวดเร็ว มีความสุภาพมากคะ
 🎨การออกแบบ:สินค้าคุ้มค่ามากคะ
 ล้อเลื่อนใช้ได้ดีมากคะ♥️",2025-06-06,Positive,Delivery
5,ดี,2025-06-06,Positive,Product
5,"ได้รับสินค้าแล้วค่ะ หลานๆอยู่บ้านได้รับแทนแชทมาบอกยายว่าชั้นวางของเล็กน่ารักรสวยดีครับหลานชอบมากค่ะ
ขอบคุณนะคะ",2025-06-06,Positive,Product
5,เล็ก,2025-06-06,Negative,Other
5,เล็กมาก,2025-06-06,Negative,Product
2,เล็กกว่าที่คิด,2025-06-06,Negative,Product
5,การออกแบบ：,2025-06-06,Neutral,Product
5,"คุ้มมากค่ะได้มาในราคา 1 บาท
แข็งแรง มีล้อให้ด้วย",2025-06-06,Negative,Product
5,"ใช้งานได้ดีเลยราคานี้ถือว่าโอเคมาก
ขนส่งคือส่งไวมากได้โปร1บาทแต่พี่ขนส่งไม่เอาเงิน😅ขอบคุณมากๆน้าพี่วัชรา
เริ่ดมากร้านนี้ดีจริงงับส่งจริง",2025-06-06,Positive,Delivery
5,,2025-06-06,Neutral,Other
5,ดีส่งไวเริ่ดราตาถูก,2025-06-06,Positive,Delivery
5,บางไปหน่อย,2025-06-06,Neutral,Product
5,สินค้าดีคุ้มกับราคาทีจ่าย,2025-06-06,Positive,Product
5,สวยสมราคากะทัดรัดน่ารักดี,2025-06-06,Positive,Product
5,,2025-06-06,Neutral,Other
5,ความทนทาน:  ดี 🎨การออกแบบ:  ดี 🛡️ความปลอดภัย:  ดี 📦ความจุในการจัดเก็บ:  ดี ความปลอดภัย:  ดี 🔧ความทนทาน:  ดี 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊🥰😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,2025-06-06,Positive,Product
5,การออกแบบ:  ดี ความทนทาน:  ดี 🎨การออกแบบ:  ดี 🛡️ความปลอดภัย:  ดี,2025-06-06,Positive,Product
5,i d'not receive,2025-06-06,Neutral,Other
5,10/10 super good,2025-06-06,Neutral,Other
5,สมราคาค่ะ,2025-06-06,Neutral,Product
5,"การออกแบบ:ง่ายต่อการใช้งานประกอบเองได้ที่บ้าน
 ความทนทาน:วัสดุพลาสติกค่อนข้างบาง แต่ใช้งานวางของในห้องน้ำ ทนทานเปียกน้ำได้, 
 🎨 การออกแบบ:วางของที่มีน้ำหนักเบาๆ ใช้วางของในห้องน้ำok.ค่ะ
 🛡️ความปลอดภัย:เป็นมิตรกับสิ่งแวดล้อม ไม่เป็นสนิม
 📦ความจุในการจัดเก็บ:จุได้หลายชั้นค่ะพอเพียงสำหรับวางของค่ะ",2025-06-06,Negative,Product
5,ได้จริง1฿สวยใช้งานได้จริงขอบคุณค่ะ ดีดี้,2025-06-06,Positive,Product
5,"ได้รับแล้ว  ขนาดเล็กกะทัดรัด เหมาะกับวางของเบาๆ ในร่ม 
ได้รับแล้ว  ขนาดเล็กกะทัดรัด เหมาะกับวางของเบาๆ ในร่ม 
ได้รับแล้ว  ขนาดเล็กกะทัดรัด เหมาะกับวางของเบาๆ ในร่ม",2025-06-06,Neutral,Other
5,"การออกแบบ:ดี
 ความทนทาน:คึณภาพสมเหตุสมผลตามราคา
 🎨 การออกแบบ:ออกปบบมาดี
 🛡️ความปลอดภัย:ดี
 ร้านจัดส่งไว  ราคาไมาแพง แข็งแรง กระทัดรัดดี เหมาะวางในห้องน้ำ",2025-06-06,Positive,Delivery
5,"การออกแบบ:สวยงามดี
 ความทนทาน:ไม่แข็งแรง
 🎨 การออกแบบ:รูปแบบสวยความปลอดภัย
 📦ความจุในการจัดเก็บ:ใส่ของได้น้อยของเบาๆ",2025-06-06,Positive,Product
5,,2025-06-06,Neutral,Other
5,คุณภาพดี ส่งไว คุ้มราคา,2025-06-06,Positive,Delivery
5,ดี บางไปหน่อย,2025-06-06,Neutral,Product
5,"การออกแบบ:ออกแบบได้ดีมากๆๆๆ
 ความทนทาน:ความทนทาน อ่อนแอไปหน่อยแต่โอเค
 🎨 การออกแบบ:ออกแบบได้ดีอยู่นะ 
 📦ความจุในการจัดเก็บ:จุได้เต็มที่เลยนะดีมากๆเลย
 🔧ความทนทาน:ทนทานอ่อนแอ",2025-06-06,Positive,Product
5,ฉันยังไม่ได้รับสินค้า.. ไม่มีคนโทรหา . .แต่งงมากจัดส่งสำเร็จ,2025-06-05,Negative,Delivery
5,ดีๆๆ,2025-06-05,Positive,Product
5,เหมาะสมราคา,2025-06-05,Neutral,Other
5,I got its with broke some part .delivery or package not so good that make it broken,2025-06-05,Neutral,Other
5,,2025-06-05,Neutral,Other
5,โอเคคะใช้ได้มีล้อให้เช็นด้วยคะไม่ไหย่เท่าไรแต่ก้โอเคคะโดยรวมคือใช้ได้คะไม่น่าเหลียด,2025-06-05,Negative,Product
5,ส่งเร็วทันใจคลิ๊กที่นี่เลยจ้า แพ็คมาอย่างดี สินค้าไม่แตกหัก  ใช้งานง่ายและสะดวกสบาย  ต้องขอโทษด้วยครับที่รีวิวช้าเพราะไปประชุมงานที่ต่างประเทศ พอกลับมาถึงก็รีบรีวิวให้ทันทีเลยครับ,2025-06-05,Positive,Product
5,การออกแบบ:สวย,2025-06-05,Positive,Product
5,เล็กดีค่ะ,2025-06-05,Positive,Product
5,การออกแบบ:  การออกแบบ ตามราคา ได้มาช่วงลดราคา 1 บาท คุ่มค่ามากๆ เกินคาด,2025-06-05,Positive,Product
5,ดีคร้า ขนาดไม่ใหญ่ไม่เล็ก,2025-06-04,Negative,Product
1,สมราคาของถูก ไม้ต้องคาดหวังว่าจะได้ของดี ตามในรูป,2025-06-04,Positive,Product
5,ได้มา1บาทเเข็งเเรงดีไม่เล็กไม่สูงกำลังดีเเต่พลาสติกก็บางเเต่รวมๆโอเครไม่ได้เเย่เริ่สส,2025-06-04,Negative,Product
5,คุ้มค่ากับราคา,2025-06-04,Positive,Product
5,good1B1B1B1B1B,2025-06-04,Neutral,Other
5,ความทนทาน:  แข็งแรงสมราคา,2025-06-04,Neutral,Other
5,โอเคเลย คุ้มราคาอยู่,2025-06-04,Neutral,Product
1,สั่งของน่าจะ1เดือนได้ไม่มีของมาส่งเลยแต่ขึ้นให้รีวิวคืออะไรค่ะ งง,2025-06-04,Negative,Service
5,เหมาะสำหรับผู้ที่มีพื้นที่น้อย ใช้งานสะดวกค่ะ,2025-06-04,Positive,Product
5,,2025-06-04,Neutral,Other
5,,2025-06-04,Neutral,Other
5,ดีราคาถูกจับต้องได้,2025-06-04,Positive,Product
5,โอเคร,2025-06-03,Neutral,Other
5,ดีค่ะ,2025-06-03,Positive,Product
5,"🎨
🛡️",2025-06-03,Neutral,Other
1,คนส่งแม่งไปส่งให้บ้านใครไม่รู้ แล้วเสือกกดส่งสำเร็จ รูปบ้านใครลายเซ็นใครก็ไม่รู้แต่เสือกระบุว่าเป็นชื่อกู,2025-06-03,Negative,Product
5,ดีใส่เครื่องสำอางได้,2025-06-03,Positive,Product
5,📦ความจุในการจัดเก็บ:ดี,2025-06-03,Positive,Product
5,ลองดูใช้ดีจะสั้งใหม่,2025-06-03,Positive,Product
5,,2025-06-03,Neutral,Other
5,เก็บของได้ แต่ ห้ามลากเลื่อน นะ พัง แน่ แน่ ตั้งไว้เฉยๆ,2025-06-03,Neutral,Product
5,สั่งซ้ำซ้อน เลย ได้  2 อัน โชคดี ไป 55+++++,2025-06-03,Negative,Service
1,ไม่มีความแข็งแรงเลย,2025-06-03,Negative,Product
1,ไม่ตรงปก,2025-06-03,Negative,Product
5,,2025-06-03,Neutral,Other
5,ดีสมราคา,2025-06-03,Positive,Product
5,กดมาได้ในราคา สอง บาท จึ้งมาก ใช้งานได้จริง,2025-06-03,Positive,Product
5,สวยค่ะอาจารย์อก,2025-06-03,Positive,Product
5,ของตรงปกมากกก,2025-06-03,Negative,Product
5,ประหยัด ต้องไว้วางของไม่หนัก ดี คุ้มค้า,2025-06-03,Negative,Product
5,สินค้าพอใช้ได้คะ แต่ถ้าเทียบกัยส่วนลดที่ได้ถือว่าคุ้มมากคะ,2025-06-02,Neutral,Product
5,"ความทนทาน:ทนสุดมากกกกกกก
 🎨การออกแบบ:สวยมาก
 🛡️ความปลอดภัย:100%",2025-06-02,Positive,Product
5,สวยน่ารักวาวเด้กๆได้พอดี,2025-06-02,Positive,Product
5,ok,2025-06-02,Neutral,Other
5,ก็เหมาะสมกับราคานะ ประกอบง่ายมาก,2025-06-02,Positive,Product
5,การออกแบบ:  ความคิดสร้างสรรค์ดี ความทนทาน:  ไม่น่าจะนาน 🎨การออกแบบ:  เหมือนของเด็กเล่น 🛡️ความปลอดภัย:  ก็น่าจะปลอดภัยดีนะ โอเครเอาไว้ของเบ็ดเตล๋ด,2025-06-02,Positive,Product
5,,2025-06-02,Neutral,Other
5,ส่งไวสิ้นค้าคุณภาพดีได้มาในราคา1บาทส่งฟรี,2025-06-02,Positive,Delivery
5,ส่งไวมากค่ะ,2025-06-02,Positive,Delivery
5,ใช้งานได้โอเคค่ะ,2025-06-02,Positive,Product
5,จัดส่งรวดเร็วคุ้มราคามากค่ะ,2025-06-02,Positive,Delivery
5,ความทนทาน:ดี,2025-06-02,Positive,Product
4,บางๆแต่ดีเพราะเป็น ของได้มาในราคา 1 บาทสำหรับลูกค้าใหม่ แต่ถ้าให้ซื้อก็คงไม่คุ้ม ของเหมือนของราคาร้านทุกอย่าง 20 บาท แต่ถ้าไม่แพงก็ซื้อได้ แต่ถ้าแพงเกินกว่า 20 กว่าบาทก็ถือว่าไม่คุ้ม,2025-06-02,Negative,Product
5,,2025-06-02,Neutral,Other
5,Design:ပစည်ကရောက်မလာဘူဗျာမယုံရရင်ဘယ်လိုက်ဆက်ဝယ်မလည်,2025-06-02,Neutral,Other
5,บางๆๆมาก,2025-06-01,Negative,Product
5,ขนาดกำลังดี ได้ในราคาถูก,2025-06-01,Positive,Product
1,ไม่ตรงปก ของจริงไม่ผ่านพลาสติกเหมือนตลาดนัด,2025-06-01,Negative,Product
5,การออกแบบ:ดีการอักเสบเจเจมถามว่าในมุมเอียงข้างประตูบ้านคุณต้องการส่งข่าวมานานกว่าเดือนที่ผ่านมาจำนวนล้านหุ้นในราคาถูกกว่าที่อื่นเพราะเป็นจุดเด่นของภาพเป็นสายใบเรียงห้าห้าบวก,2025-06-01,Positive,Product
5,บางเบา,2025-06-01,Neutral,Other
5,ดีมากกดมาได้1บาทคุ้มสุดๆใช้งานได้ดีประกอบก็ง่าย,2025-06-01,Positive,Product
5,บางเบา,2025-06-01,Neutral,Other
5,สั่งเป็นอันที่2และค่ะประกอบง่ายราคาคุ้มมากจริงๆ,2025-06-01,Positive,Product
5,การออกแบบ：,2025-06-01,Neutral,Product
5,ได้รับของแล้ว ไม่ตรงปก ขนาดเล็ก ของเด็กเล่น เล็กมากกก,2025-06-01,Negative,Product
5,ความทนทาน:  น้อย 5555555,2025-06-01,Neutral,Other
5,ดี,2025-06-01,Positive,Product
5,"การออกแบบ:ธรรมดา บางแตกง่ายสูงกระทัดรัด
 🛡️ความปลอดภัย:วางขิฃองหนักไม่น่าจะได้
 📦ความจุในการจัดเก็บ:เก็บของชิ้นเล็กชิ้นน้อยได้ดี
 🔧ความทนทาน:บางมาก แตกง่าย",2025-06-01,Negative,Product
5,"ความทนทาน:เสาอ่อนไปคะเหมือนหลอดชานมไข่มุก
 การออกแบบ:สวยดี",2025-06-01,Negative,Product
5,การออกแบบ:  น่ารัก สวย,2025-06-01,Positive,Product
5,"ความทนทาน:พอใช้
 ได้มา 1 บาท เหมือนได้ฟรี ใช้งานได้ปกติ",2025-06-01,Negative,Product
5,ดีงามมากๆค่ะได้จริงส่งจริง แนะนำร้านนี้ค่ะ ❤️❤️ ใว้จะอุหนุนอีกนะคะ  ชั้นวางของน่ารักมาก ที3 ชั้นประกอบง่ายมากๆค่ะ ถูกใจมากค่ะ,2025-06-01,Negative,Service
